DHANENDRA SAHU,Abhanpur,Indian National Congress,76761

CHANDRASHEKHAR SAHU - CHAMPU BHAIYYA,Abhanpur,Bharatiya Janata Party,53290

DAYARAM NISHAD,Abhanpur,Janta Congress Chhattisgarh (J),21324

BRAMHANAND SAHU,Abhanpur,Independent,2249

SHWETA RAKESH SAHU,Abhanpur,Independent,2040

TIKENDRA SINGH THAKUR,Abhanpur,Nationalist Congress Party,1242

SHAKUNTALA MANDLE,Abhanpur,Independent,962

SANJAY RAI,Abhanpur,Aam Aadmi Party,695

SAVITRI PAL,Abhanpur,Independent,582

BHUNESHWAR,Abhanpur,Independent,479

TEKESHWAR CHATURVEDI,Abhanpur,Independent,244

DEEPAK KUMAR NAVRANGE,Abhanpur,Independent,182

None of the Above,Abhanpur,None of the Above,3005

GURU RUDRA KUMAR,Ahiwara,Indian National Congress,88735

RAJMAHANT SANWLA RAM DAHRE,Ahiwara,Bharatiya Janata Party,57048

DR.SHOBHA RAM BANJARE,Ahiwara,Bahujan Samaj Party,5844

RAM KUMAR SURVANSHI,Ahiwara,Independent,1513

AJAY RAMTEKE,Ahiwara,Aam Aadmi Party,1178

RAMBAGAS BHARTI,Ahiwara,Independent,705

PADMA PATIL,Ahiwara,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),673

MANOJ KUMAR LAHARE,Ahiwara,Ambedkarite Party of India,638

GAIND LAL RAI,Ahiwara,Independent,595

NANDKUMAR MAHILANG,Ahiwara,Independent,507

ADVOCATE SHAILENDRA KUMAR BANJARE (SHAKTI PUTRA),Ahiwara,Shakti Sena (Bharat Desh),266

None of the Above,Ahiwara,None of the Above,3681

SAURABH SINGH,Akaltara,Bharatiya Janata Party,60502

RICHA JOGI,Akaltara,Bahujan Samaj Party,58648

CHUNNILAL SAHU,Akaltara,Indian National Congress,27667

BADRI PRASAD OGREY,Akaltara,Independent,971

CHANDRAHAS DEWANGAN,Akaltara,Aam Aadmi Party,958

PUSHPENDRA KUMAR JAISWAL,Akaltara,Nationalist Congress Party,746

SHIV KUMAR VISHWKARMA,Akaltara,Independent,682

RKS (RAM KUMAR SHRIWAS),Akaltara,Independent,552

RAJESH KUMAR BANJARE,Akaltara,Ambedkarite Party of India,483

JAGMOHAN PATLEY,Akaltara,Independent,481

DILESHWAR SAHU,Akaltara,National Democratic Peoples Front,345

SANJAY PRAKASH SAHU,Akaltara,Bhartiya Kisan Party,323

AMIR SINGH,Akaltara,Independent,308

JIWAN LAL YADAW,Akaltara,Samajwadi Party,301

DILESHWAR VISHWAKARMA,Akaltara,Shiv Sena,287

None of the Above,Akaltara,None of the Above,2242

DR. SHIVKUMAR DAHARIYA,Arang,Indian National Congress,69900

SANJAY DHIDHI,Arang,Bharatiya Janata Party,44823

SANJAY CHELAK,Arang,Janta Congress Chhattisgarh (J),27903

SHARDA BANJARE,Arang,Independent,3042

NARAYAN PRASAD TANDAN,Arang,Independent,1528

DAGESHVAR BHARTI,Arang,Aam Aadmi Party,1423

SANTOSH KUMAR DAHARIYA,Arang,Shiv Sena,1112

SANJAY KUMAR KOSARIYA,Arang,Chhattisgarh Vikas  Party,1053

NAROTTAM BANJARE,Arang,Independent,552

ASHOK SONWANI,Arang,Independent,439

GAJENDRA SINGH KOSHLEY,Arang,Independent,379

DR. UDAY RATRE,Arang,Independent,361

NEHA BAGHEL,Arang,Bharatiya Bahujan Congress,360

TARJAN JANGADE,Arang,Independent,315

RIJHENDRA KUMAR DAHARIYA,Arang,Rashtriya Jansabha Party,265

ADVOCATE SHAILENDRA BANJARE(SHAKTI PUTRA ),Arang,Shakti Sena (Bharat Desh),202

None of the Above,Arang,None of the Above,1321

DEVENDRA BAHADUR SINGH,Basna,Indian National Congress,67535

SAMPAT AGRAWAL,Basna,Independent,50027

DURGACHARAN(D.C.) PATEL,Basna,Bharatiya Janata Party,36394

TRILOCHAN NAYAK LUNGIWALA,Basna,Janta Congress Chhattisgarh (J),7758

DR. ANAMIKA PAUL,Basna,Independent,2475

MAHENDRA SAO,Basna,Independent,2123

KALESHWAR YADAV,Basna,National Democratic Peoples Front,1753

ASHOK PRADHAN,Basna,Shiv Sena,1007

JAGDISH SIDAR,Basna,Independent,923

PRAHALLAD BARIHA,Basna,Independent,833

SANKALP DASS,Basna,Aam Aadmi Party,493

GAURISHANKAR PATEL,Basna,Independent,492

KEDARNATH PATEL,Basna,Independent,406

SADANAND SAHU,Basna,Bhartiya Shakti Chetna Party,405

YAGENDRA BHOI,Basna,Samajwadi Party,350

None of the Above,Basna,None of the Above,2431

BAGHEL LAKHESHWAR,Bastar,Indian National Congress,74378

DR. SUBHAU KASHYAP,Bastar,Bharatiya Janata Party,40907

SONSAY KASHYAP,Bastar,Janta Congress Chhattisgarh (J),3688

JAGMOHAN BAGHEL,Bastar,Aam Aadmi Party,2121

DULAB SURYAVANSHI,Bastar,Independent,2034

None of the Above,Bastar,None of the Above,5083

RAJNISH KUMAR SINGH,Beltara,Bharatiya Janata Party,49601

RAJENDRA SAHU(DABBU),Beltara,Indian National Congress,43342

ANIL TAH,Beltara,Janta Congress Chhattisgarh (J),38308

SOHIT YADAV OR BUNTY,Beltara,Independent,2576

SHITAL SONI,Beltara,Aap Sabki Apni Party,1663

SANJAY SINGH(GURUJI),Beltara,Independent,1458
