CHANDRADEV PRASAD RAI,Indian National Congress,71936
SHYAM KUMAR TANDAN,Bahujan Samaj Party,62089
DR. SANAM JANGDE,Bharatiya Janata Party,40623
BHOJ RAM AJAGALE,Independent,10595
HARI RAM KURREY,Independent,2580
SANJAY KUMAR,Independent,1822
SANTOSH KUMAR SONWANI,Janata Congress,1083
ER. REVALAL SATNAMI,Independent,858
KOMAL PRASAD,Gondvana Gantantra Party,839
FULMANI TANDAN,Janta Congress Chhattisgarh (J),803
NAND KISHOR DEEP,Independent,654
TAKESH ALIAS TAKESHWAR,Independent,630
JAGANNATH MAHILANG,Aam Aadmi Party,568
NARESH KUMARI AJAY,Shiv Sena,456
NITESH KUMAR RATRE,Sunder Samaj Party,444
None of the Above,None of the Above,2789
