MANOHAR UNTWAL,AGAR,Bharatiya Janata Party,82146

VIPIN WANKHEDE,AGAR,Indian National Congress,79656

BABULAL MALVIYA,AGAR,Aam Aadmi Party,2039

GOVIND SURYAVANSHI,AGAR,Bahujan Samaj Party,1978

SUNIL TULSEERAM ASTAY,AGAR,Bahujan Sangharshh Dal,1699

AMIT PHATROD,AGAR,Independent,1066

MADHU GEHLOT,AGAR,Independent,1046

RAJESH GOYAL,AGAR,Prajatantrik Samadhan Party,465

None of the Above,AGAR,None of the Above,2160

MANOJ CHAWLA,ALOTE,Indian National Congress,80821

JITENDRA THAWARCHAND GEHLOT,ALOTE,Bharatiya Janata Party,75373

MUKESH PANCHOLA TAL,ALOTE,Bahujan Sangharshh Dal,1687

ADVOCATE VINOD KATARIYA,ALOTE,Bahujan Samaj Party,1565

SUNIL KALYANE,ALOTE,Shiv Sena,1174

PURNIMA CHOUHAN,ALOTE,Aam Aadmi Party,485

None of the Above,ALOTE,None of the Above,2450

DR. YOGESH PANDAGRE,AMLA,Bharatiya Janata Party,73481

MANOJ MALVE,AMLA,Indian National Congress,54284

RAKESH MAHALE (ADV),AMLA,Gondvana Gantantra Party,15827

PRABHU MASTAKAR,AMLA,Bahujan Samaj Party,2916

MANOJ DEHARIYA,AMLA,Independent,2391

DR. SURESH BHUMARKAR,AMLA,Aam Aadmi Party,1454

SADARAM JHARBADE,AMLA,Independent,1444

SANTOSH KAROSIYA,AMLA,Independent,1404

MANOJ BIHARE,AMLA,Independent,1067

NAMDEO URFE AAKASH BINJHARE,AMLA,Independent,448

SANDEEP MANKAR,AMLA,Republican Party of India (A),443

PANJABRAO SOLANKI,AMLA,Independent,421

AAKESH MOHABE,AMLA,Independent,324

None of the Above,AMLA,None of the Above,3081

RAGHUNATH SINGH MALVIYA,ASHTA,Bharatiya Janata Party,92292

GOPAL SINGH ENGINEER,ASHTA,Indian National Congress,86248

KAMAL SINGH CHAUHAN,ASHTA,Prajatantrik Samadhan Party,17577

SHAILESH VAIDYA,ASHTA,Bahujan Samaj Party,4487

JAGANNATH SINGH,ASHTA,Independent,1181

URMILA,ASHTA,Independent,1013

RAM PRASAD,ASHTA,Shiv Sena,641

GAJPAL SINGH,ASHTA,Independent,431

SOBHAL SISODIYA,ASHTA,Bhartiya Panchyat Party,308

None of the Above,ASHTA,None of the Above,2108

ARVIND SINGH BHADORIA,ATER,Bharatiya Janata Party,58928

HEMANT SATYADEV KATARE,ATER,Indian National Congress,53950

SANJEEV BAGHEL,ATER,Bahujan Samaj Party,16585

CHATUR SINGH,ATER,Independent,695

NAND KISHOR YADAV,ATER,Samajwadi Party,645

SHYAM SUNDAR SINGH YADAV,ATER,Loktantrik Samajwadi Party,636

ASHOK SINGH BHADOURIA (KANAWAR),ATER,Aam Aadmi Party,520

JALALUDDIN KHAN,ATER,Independent,328

KOSHLENDRA SINGH,ATER,Independent,297

CHANDRVEER SINGH,ATER,Independent,293

GANESH SHINGH BHADORIA,ATER,Independent,270

DINESH SINGH,ATER,Independent,255

