CHHAGANSINGH,Ahore,Bharatiya Janata Party,74928

SAVARAM PATEL,Ahore,Indian National Congress,43880

PANKAJ,Ahore,Bahujan Samaj Party,22808

JAGDISH CHOUDHARY,Ahore,Independent,2684

CHHAGNARAM,Ahore,Hindustan Janta Party,1204

MILAP CHAND JAIN,Ahore,Independent,1091

LAL CHAND,Ahore,Independent,1021

NIMBARAM,Ahore,Independent,644

BALWANT SINGH,Ahore,Shiv Sena,311

DINESH KUMAR,Ahore,Aam Aadmi Party,255

PRAKASH SINGH,Ahore,Abhinav Rajasthan Party,189

None of the Above,Ahore,None of the Above,3111

SATISH POONIA,Amber,Bharatiya Janata Party,93132

PRASHANT SHARMA,Amber,Indian National Congress,79856

NAVIN PILANIYA,Amber,Bahujan Samaj Party,15994

RAMJI LAL YADAV,Amber,Communist Party of India  (Marxist),1547

LAL CHAND SHARMA,Amber,Independent,1537

POORAN CHAND VERMA,Amber,Ambedkarite Party of India,1470

NATWAR SINGH,Amber,Independent,1401

MOHAN LAL SHARMA,Amber,Independent,687

GAURU SINGH DEVAL,Amber,Independent,579

VINOD MEENA,Amber,Shiv Sena,383

AFZAL KHAN,Amber,Independent,361

HEM CHAND SAINI,Amber,Aam Aadmi Party,271

KARISHAN KUMAR CHOUDHARY,Amber,Independent,231

RAMESH KUMAR SHARMA,Amber,Bharatiya Yuva Shakti,196

RAMESH CHAND MEENA,Amber,Panch Party,161

None of the Above,Amber,None of the Above,1678

PRAMOD BHAYA,Anta,Indian National Congress,97160

PRABHU LAL SAINI,Anta,Bharatiya Janata Party,63097

ASHOK KUMAR JAIN,Anta,Aam Aadmi Party,1739

RAVIKANT MEENA,Anta,Independent,1447

DEENBANDHU DHAKAD,Anta,Bahujan Samaj Party,1335

BHUVNESH NAGAR,Anta,Independent,796

DINESH KUMAR,Anta,Independent,374

None of the Above,Anta,None of the Above,1301

JABBAR SINGH SANKHALA,Asind,Bharatiya Janata Party,70249

MANISH MEWARA,Asind,Indian National Congress,70095

MANSUKH SINGH,Asind,Rashtriya Loktantrik Party,42070

DHANNA LAL SALVI,Asind,Bahujan Samaj Party,6092

RAM KUMAR MALI,Asind,Bharatiya Yuva Shakti,2597

JAGDISH,Asind,Aam Aadmi Party,2001

DEVI SINGH,Asind,Rashtriya Krantikari Samajwadi Party,880

RADHESHYAM VAISHNAV,Asind,Ambedkar Samaj Party,853

MAHVEER PRASAD,Asind,Independent,792

JAGDISH SHARMA,Asind,Bharat Vahini Party,664

None of the Above,Asind,None of the Above,2943

PUSHPENDRA SINGH,Bali,Bharatiya Janata Party,96238

UMMED SINGH,Bali,Nationalist Congress Party,68051

RAJUGIRI JI,Bali,Bharat Vahini Party,5616

INDU CHOUDHARY,Bali,Independent,5414

SHAILESH KUMAR MOUSALPURIYA,Bali,Independent,3479

JAIPAL SINGH,Bali,Independent,3270

MAHENDRA KUMAR,Bali,Abhinav Rajasthan Party,2920

DANARAM MEENA,Bali,Bahujan Samaj Party,2796

SURENDRA SINGH,Bali,Independent,1723

KHARTARAM,Bali,Independent,783

HARIRAM,Bali,Rashtriya Samaj Paksha,775

None of the Above,Bali,None of the Above,5334

GANGA DEVI,Bagru,Indian National Congress,96635

KAILASH CHAND VERMA,Bagru,Bharatiya Janata Party,91292

DINESH RAI BHATI,Bagru,Rashtriya Loktantrik Party,15796

K.L.PANWAR,Bagru,Bahujan Samaj Party,1590

MAHESH NARANIA,Bagru,Independent,1202

JAGDISH PRASAD NAINAWAT,Bagru,Aam Aadmi Party,971

TEEKAM CHAND,Bagru,Bharatiya Yuva Shakti,715

DOLAT RAM,Bagru,Janata Dal  (United),671

GOMA SAGAR RAIGAR,Bagru,Independent,612

MUKESH KUMAR MAHARDA,Bagru,Bharat Vahini Party,571

YOGESH,Bagru,Bharatiya Rashtravadi Samanta Party,455

HIMANSHU VERMA,Bagru,Abhinav Rajasthan Party,331

RAVI VEDWAL,Bagru,Peoples Party of India (Democratic),313

MEGH LAL,Bagru,Republican Party of India (A),302

BHANU KHORWAL,Bagru,Indian Peoples Green Party,186

None of the Above,Bagru,None of the Above,4203

SHAKUNTALA RAWAT,Bansur,Indian National Congress,65656

DEVI SINGH SHEKHAWAT,Bansur,Independent,47736

MAHENDRA KUMAR YADAV,Bansur,Bharatiya Janata Party,44226

MUKESH,Bansur,Samajwadi Party,3122

OMPRAKASH,Bansur,Bahujan Samaj Party,1442

